Start Date,Hours,Time of Action,String,Node
04/18/2025,1,02:15 PM,A,1
04/18/2025,1,01:45 PM,B,1
04/18/2025,1,01:45 PM,B,2
04/18/2025,1,01:45 PM,B,3
04/18/2025,1,01:45 PM,B,4
04/18/2025,1,01:45 PM,B,5
04/18/2025,1,01:45 PM,B,6
04/18/2025,1,10:45 AM,B,1
04/18/2025,1,10:45 AM,B,2
04/18/2025,1,10:45 AM,B,3
04/18/2025,1,10:45 AM,B,4
04/18/2025,1,10:45 AM,B,5
04/18/2025,1,10:45 AM,B,6
04/18/2025,1,10:30 AM,B,1
04/18/2025,1,10:30 AM,B,2
04/18/2025,1,10:30 AM,B,3
04/18/2025,1,10:30 AM,B,4
04/18/2025,1,10:30 AM,B,5
04/18/2025,1,10:30 AM,B,6
04/18/2025,1,10:23 AM,B,1
04/18/2025,1,10:23 AM,B,2
04/18/2025,1,10:23 AM,B,3
04/18/2025,1,10:23 AM,B,4
04/18/2025,1,10:23 AM,B,5
04/18/2025,1,10:23 AM,B,6
04/18/2025,1,09:30 AM,B,1
04/18/2025,1,09:30 AM,B,2
04/18/2025,1,09:30 AM,B,3
04/18/2025,1,09:30 AM,B,4
04/18/2025,1,09:30 AM,B,5
04/18/2025,1,09:30 AM,B,6
